Число заявок,Дата договора,Тарифный план,Физ/Юр,Тип кл,Дата снятия
0,43649,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,43823,EIPTV ДР моноТВ 1гр (ХФ)К,Физическое лицо,Единый договор,43840
0,41949,EIPTVТВ+100Мб/с (ХФ)К,Физическое лицо,Единый договор,43840
0,42520,ДИнт в пак 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43840
0,43753,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43840
0,43024,EIPTV ТВ Легкая цена + (ХФ)К,Физическое лицо,Единый договор,43840
4,43024,ЛЦ-3 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,43574,ПП EIPTV Для б/впечат. (ХМФ)К,Физическое лицо,Единый договор,43840
0,43776,ДНА 1.1гр 100 Кр ХФ,Физическое лицо,Единый договор,43840
0,42695,ДИнт new 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43840
0,42430,ПН-3 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,42678,Суточный Г Кр ХФ,Физическое лицо,ШПД Коммерческий,43824
4,43819,ДНА 1.1гр 100 Кр ХФ,Физическое лицо,Единый договор,43840
0,42486,EIPTVБольшой Пакет(ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,42198,ПН-2 21гр 60 Кр ХФ,Физическое лицо,Единый договор,43840
0,43630,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43840
0,42691,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,43616,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,42691,EIPTV Минимальный(ХМФ) К,Физическое лицо,Единый договор,43840
0,43602,ДН-2 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,43606,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43840
2,42862,УД ДИнт 1гр 100 Кр ХФ,Физическое лицо,ШПД Коммерческий,43840
0,41178,EIPTV Персон.2019 Архив ХФ К,Физическое лицо,ШПД Коммерческий,43840
0,43636,EIPTV ТВ Суточный (ХМФ),Физическое лицо,ШПД Коммерческий,43840
0,43631,ДИнтА пак 1гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,42898,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,43636,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,43475,ДВ-1 200 Кр ХФ,Физическое лицо,Единый договор,43840
0,42216,ЛИ в пак 35гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,41521,БИ 21гр 60 Кр ХФ,Физическое лицо,ШПД Коммерческий,43840
0,42981,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,43404,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,43339,ДИнт+УД 1гр 200 Кр ХФ,Физическое лицо,Единый договор,43840
0,43339,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,43505,EIPTV Будем вместе. Лег.(ХФ) К,Физическое лицо,Единый договор,43840
0,43428,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43840
0,43475,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43840
0,43046,БИ 35гр 50 Кр ХФ,Физическое лицо,Единый договор,43840
0,43535,СР 1гр в пак 100 Мб/с Кр ХФ,Физическое лицо,Единый договор,43840
0,43652,EIPTV Для впечатл Акция (ХМФ)К,Физическое лицо,Единый договор,43840
0,42929,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
3,40934,FAST 11гр 25 Мб Кр ХФ,Физическое лицо,ШПД Коммерческий,43840
0,43388,ДИнт в пак 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43840
0,43633,Fullhouse 1гр 500 Кр ХФ,Физическое лицо,Единый договор,43840
0,43398,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43840
0,43603,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
